Name,Category,Dosage Form,Strength,Indication
Acetocillin,Antidiabetic,Cream,938 mg,Virus
Ibuprocillin,Antiviral,Injection,337 mg,Infection
Dextrophen,Antibiotic,Ointment,333 mg,Wound
Clarinazole,Antifungal,Syrup,362 mg,Pain
Amoxicillin,Antifungal,Tablet,802 mg,Wound
Ibupromycin,Antibiotic,Injection,140 mg,Infection
Metovir,Antipyretic,Ointment,641 mg,Infection
Ibuprovir,Antidepressant,Syrup,758 mg,Fungus
Cefcillin,Antipyretic,Tablet,954 mg,Fungus
Acetomycin,Analgesic,Inhaler,838 mg,Wound
Ibuprocillin,Antifungal,Ointment,422 mg,Wound
Acetonazole,Antipyretic,Ointment,575 mg,Wound
Dolocillin,Antiviral,Ointment,451 mg,Diabetes
Cefmet,Antifungal,Tablet,440 mg,Depression
Dolophen,Antibiotic,Capsule,469 mg,Depression
Ibupronazole,Analgesic,Injection,720 mg,Fungus
Amoxiprofen,Antiviral,Ointment,861 mg,Diabetes
Acetomycin,Antiviral,Drops,978 mg,Virus
Amoxistatin,Antiviral,Inhaler,46 mg,Fever
Dextrocillin,Antidiabetic,Inhaler,392 mg,Pain
Metovir,Antifungal,Injection,124 mg,Diabetes
Cefmet,Analgesic,Cream,649 mg,Fungus
Clariphen,Antidiabetic,Syrup,300 mg,Fungus
Ibuprocillin,Antibiotic,Inhaler,86 mg,Diabetes
Dolomet,Antifungal,Drops,335 mg,Diabetes
Acetoprofen,Antibiotic,Inhaler,909 mg,Fever
Amoximet,Analgesic,Ointment,795 mg,Pain
Cefmet,Antidepressant,Injection,512 mg,Fever
Doloprofen,Antibiotic,Inhaler,981 mg,Fungus
Clariprofen,Antifungal,Tablet,123 mg,Infection
Metocillin,Analgesic,Tablet,892 mg,Pain
Ibupromycin,Analgesic,Capsule,97 mg,Diabetes
Cefstatin,Antipyretic,Ointment,19 mg,Fever
Metomycin,Antifungal,Capsule,718 mg,Wound
Acetomycin,Antifungal,Syrup,605 mg,Virus
Metoprofen,Antiseptic,Capsule,319 mg,Wound
Clarivir,Analgesic,Tablet,14 mg,Pain
Ibuproprofen,Analgesic,Cream,178 mg,Pain
Metocillin,Antibiotic,Cream,106 mg,Depression
Cefprofen,Antiseptic,Tablet,245 mg,Pain
Dextromycin,Antipyretic,Capsule,986 mg,Wound
Acetonazole,Antidepressant,Ointment,93 mg,Pain
